Country Name,"Death Rate Per 100,000"
El Salvador,17.56
Russia,14.87
Estonia,12.31
Guatemala,10.6
Nicaragua,8.7
Latvia,8.27
Lithuania,8.26
Belarus,8.18
Denmark,7.51
Finland,7.47
Mongolia,7.27
Moldova,7.02
Poland,6.25
Ukraine,6
Saint Vincent and the Grenadines,5.8
Kyrgyzstan,5.75
Antigua and Barbuda,4.91
Haiti,4.36
Bolivia,4.35
Germany,4.05
Brazil,4.03
Ivory Coast,4.01
France,3.89
Maldives,3.88
Sierra Leone,3.45
Norway,3.36
Myanmar,3.36
Croatia,3.27
Paraguay,3.23
Slovenia,3.17
Hungary,3.08
Chad,3.06
Guyana,3.05
Austria,3.05
Mexico,3.04
Cuba,2.95
Ecuador,2.95
Belize,2.93
Mauritius,2.86
Thailand,2.83
Saint Lucia,2.81
Grenada,2.74
Zimbabwe,2.73
Laos,2.69
Luxembourg,2.69
Kazakhstan,2.68
Cameroon,2.64
Equatorial Guinea,2.6
Angola,2.58
Burkina Faso,2.56
Sweden,2.45
Cambodia,2.44
Slovakia,2.44
Central African Republic,2.39
Bosnia and Herzegovina,2.37
Serbia,2.35
Belgium,2.34
Burundi,2.31
Nigeria,2.29
Benin,2.29
Togo,2.29
Czech Republic,2.27
Guinea,2.26
United States,2.26
Bahamas,2.24
Gambia,2.18
Romania,2.16
Mali,2.15
Rwanda,2.11
Chile,2.05
Ghana,1.99
Suriname,1.97
Eritrea,1.93
Swaziland,1.93
Somalia,1.92
Honduras,1.91
Guinea-Bissau,1.9
Philippines,1.88
Turkmenistan,1.85
Comoros,1.83
Senegal,1.82
Niger,1.8
Timor-Leste,1.75
South Sudan,1.75
Tanzania,1.74
Switzerland,1.74
Liberia,1.7
Canada,1.7
Djibouti,1.7
Mauritania,1.69
Ethiopia,1.66
Uganda,1.62
Lesotho,1.54
Argentina,1.52
Zambia,1.48
Uruguay,1.47
Botswana,1.47
United Kingdom,1.46
Namibia,1.44
Mozambique,1.43
Ireland,1.43
Kenya,1.41
Peru,1.41
Sri Lanka,1.4
South Africa,1.39
Trinidad and Tobago,1.39
Iceland,1.37
Democratic Republic of the Congo,1.33
Malawi,1.32
Azerbaijan,1.32
Dominican Republic,1.29
Uzbekistan,1.27
Malaysia,1.24
Republic of the Congo,1.24
Seychelles,1.21
Australia,1.2
Portugal,1.18
Gabon,1.18
South Korea,1.17
North Korea,1.11
Netherlands,1.07
Montenegro,1.05
Tunisia,1.05
São Tomé and Príncipe,1.04
Barbados,1.03
Madagascar,0.99
Costa Rica,0.97
Tajikistan,0.97
Vietnam,0.96
Morocco,0.85
Bahrain,0.85
Bulgaria,0.84
Papua New Guinea,0.84
Afghanistan,0.83
New Zealand,0.82
Cape Verde,0.79
Armenia,0.76
Panama,0.76
China,0.75
Yemen,0.73
Sudan,0.73
India,0.7
Macedonia,0.69
Bhutan,0.67
Solomon Islands,0.62
Georgia,0.56
Israel,0.56
Micronesia,0.55
Indonesia,0.53
Tonga,0.51
Vanuatu,0.48
Libya,0.48
Spain,0.47
Samoa,0.47
Nepal,0.46
Cyprus,0.45
Bangladesh,0.45
United Arab Emirates,0.42
Kiribati,0.4
Saudi Arabia,0.39
Pakistan,0.38
Italy,0.38
Malta,0.36
Venezuela,0.33
Oman,0.33
Qatar,0.32
Jamaica,0.31
Iraq,0.31
Colombia,0.3
Lebanon,0.29
Jordan,0.28
Turkey,0.27
Albania,0.27
Syria,0.27
Kuwait,0.25
Japan,0.25
Greece,0.22
Egypt,0.2
Algeria,0.2
Brunei,0.17
Singapore,0.17
Fiji,0.15
Iran,0.11